Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,address,price,latitude,longitude
90.0,2+1,3.Kat,1,21 Ve Üzeri,3,Hayır,Kocaeli - İzmit - Zabıtan Mahallesi,4800000,40.7685945,29.9079131
110.0,3+1,5.Kat,1,21 Ve Üzeri,5,Hayır,Kocaeli - İzmit - Şirintepe Mahallesi,1550000,40.7634588,29.85982379999999
98.0,3+1,2.Kat,1,21 Ve Üzeri,3,Hayır,Kocaeli - Derince - Çınarlı Mahallesi,2250000,40.7645032,29.8439109
75.0,2+1,1.Kat,1,5-10,3,Hayır,Kocaeli - İzmit - Topçular Mahallesi,2050000,40.77521369999999,29.9364694
120.0,3+1,2.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Ertuğrul Gazi Mahallesi,2490000,40.7548512,30.0361888
105.0,2+1,1.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,2700000,40.7365963,30.0231861
130.0,3+1,2.Kat,2,0 (Yeni),3,Evet,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,6400000,40.7365963,30.0231861
110.0,3+1,Yüksek Giriş,2,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,2500000,40.7365963,30.0231861
100.0,3+1,1.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,2950000,40.7365963,30.0231861
130.0,3+1,3.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,3600000,40.7365963,30.0231861
110.0,3+1,1.Kat,1,0 (Yeni),3,Evet,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,2900000,40.7365963,30.0231861
120.0,2+1,2.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Dumlupınar Mahallesi,2700000,40.758402,30.0116271
130.0,3+1,2.Kat,1,0 (Yeni),2,Hayır,Kocaeli - Kartepe - İstasyon Mahallesi,2700000,40.7520434,30.0217413
95.0,2+1,2.Kat,2,1,3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,2400000,40.7365963,30.0231861
55.0,1+1,2.Kat,1,0 (Yeni),4,Evet,Kocaeli - Kartepe - Ertuğrul Gazi Mahallesi,1800000,40.7548512,30.0361888
100.0,2+1,2.Kat,1,1,3,Evet,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,2400000,40.7365963,30.0231861
90.0,2+1,Bahçe Katı,1,0 (Yeni),4,Hayır,Kocaeli - Kartepe - İbrikdere Mahallesi,2911000,40.73142989999999,30.13006009999999
105.0,2+1,4.Kat,1,0 (Yeni),4,Evet,Kocaeli - Kartepe - Ertuğrul Gazi Mahallesi,2350000,40.7548512,30.0361888
80.0,3+1,3.Kat,2,0 (Yeni),3,Evet,Kocaeli - Başiskele - Mehmetağa Mahallesi,2860000,40.7264202,29.9899512
