Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,latitude,longitude,price
167.0,5.0,2.0,2,16.0,2,0.0,40.8216853,29.4266385,4.05
80.0,2.0,2.0,2,0.0,4,0.0,40.8361956,29.3787483,2.5
120.0,2.0,3.0,1,3.0,3,0.0,40.7400611,30.0029572,2.78
60.0,1.0,2.0,1,21.0,3,0.0,40.7616073,29.9212883,1.77
60.0,1.0,3.0,1,21.0,3,0.0,40.7616073,29.9212883,1.77
85.0,3.0,3.0,1,0.0,3,0.0,40.7074291,29.9306863,3.1
75.0,2.0,2.0,1,21.0,5,0.0,40.7160544,29.8330601,1.25
115.0,3.0,2.0,1,5.0,3,0.0,40.7766241,29.9436979,3.2
145.0,3.0,2.0,2,21.0,5,0.0,40.7659429,29.7570809,1.85
86.0,2.0,2.0,1,5.0,3,0.0,40.7665482,29.9465892,2.47
120.0,3.0,2.0,1,21.0,3,0.0,40.7740571,29.8265492,1.115
803.0,2.0,2.0,1,2.0,1,0.0,41.103284,30.257858,3.5
260.0,4.0,2.0,2,11.0,3,0.0,40.75283570000001,29.803397,5.1
70.0,2.0,2.0,1,16.0,4,0.0,40.78985660000001,29.3743939,1.4
150.0,3.0,2.0,2,11.0,4,1.0,40.790836,29.4208345,4.5
155.0,3.0,2.0,2,5.0,3,1.0,40.7532944,29.8222085,3.45
115.0,3.0,2.0,1,5.0,3,0.0,40.7645032,29.8439109,2.71
145.0,3.0,2.0,1,5.0,3,0.0,40.7074291,29.9306863,2.2
75.0,1.0,2.0,1,0.0,4,1.0,40.7438656,30.0463012,4.25
160.0,3.0,4.0,1,0.0,4,0.0,40.8361956,29.3787483,3.1
135.0,3.0,2.0,2,0.0,3,0.0,40.7502682,29.7715563,2.95
85.0,2.0,2.0,1,0.0,3,0.0,40.7365963,30.0231861,1.69
