Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,price
115.0,3.0,3.0,1,0.0,4,0.0,2.87
160.0,4.0,4.0,2,0.0,5,0.0,3.6
100.0,3.0,2.0,2,0.0,3,0.0,2.875
90.0,2.0,3.0,1,5.0,4,0.0,2.65
180.0,5.0,2.0,4,0.0,2,0.0,11.67
130.0,3.0,3.0,2,0.0,3,0.0,3.425
120.0,3.0,3.0,2,0.0,5,0.0,3.55
158.0,3.0,2.0,2,0.0,3,0.0,3.8
100.0,3.0,1.0,1,5.0,3,0.0,4.25
115.0,3.0,2.0,1,0.0,4,1.0,3.4
145.0,3.0,2.0,1,0.0,3,0.0,3.0
170.0,4.0,3.0,2,0.0,4,0.0,3.4
130.0,3.0,3.0,1,0.0,3,0.0,3.15
95.0,2.0,2.0,1,0.0,4,0.0,2.35
110.0,3.0,3.0,1,0.0,4,1.0,3.0
80.0,2.0,5.0,1,4.0,6,1.0,1.95
140.0,3.0,4.0,2,0.0,5,0.0,3.75
125.0,3.0,5.0,1,16.0,5,1.0,2.05
112.0,3.0,2.0,1,0.0,3,0.0,3.65
105.0,3.0,2.0,1,0.0,3,0.0,2.875
135.0,3.0,3.0,1,0.0,3,0.0,3.75
100.0,3.0,3.0,2,0.0,4,1.0,3.99
95.0,2.0,4.0,1,21.0,7,0.0,2.8
95.0,2.0,3.0,1,0.0,4,1.0,3.55
55.0,2.0,2.0,1,0.0,3,0.0,2.75
80.0,2.0,2.0,1,0.0,3,0.0,2.25
130.0,3.0,3.0,1,3.0,5,0.0,2.92
98.0,2.0,2.0,1,5.0,4,0.0,2.3
110.0,2.0,3.0,2,0.0,3,0.0,2.625
80.0,2.0,2.0,1,4.0,3,0.0,2.25
120.0,2.0,2.0,1,0.0,4,0.0,1.999
102.0,3.0,1.0,2,0.0,3,0.0,2.79
110.0,3.0,2.0,1,0.0,4,0.0,3.0
145.0,3.0,2.0,1,21.0,4,0.0,2.05
110.0,3.0,2.0,1,0.0,4,0.0,3.1
85.0,2.0,4.0,1,21.0,4,0.0,1.69
110.0,3.0,2.0,2,0.0,3,0.0,3.348
145.0,4.0,2.0,2,0.0,4,0.0,3.5
95.0,2.0,4.0,1,4.0,7,0.0,4.25
244.0,1.0,2.0,0,21.0,4,0.0,4.5
95.0,2.0,3.0,1,0.0,3,0.0,2.2
140.0,3.0,1.0,2,0.0,3,0.0,3.1
140.0,3.0,3.0,1,5.0,3,0.0,2.75
157.0,3.0,2.0,2,5.0,3,1.0,3.35
110.0,3.0,3.0,1,4.0,4,0.0,3.125
75.0,2.0,1.0,1,0.0,4,0.0,2.37
190.0,4.0,3.0,1,2.0,3,0.0,3.7
85.0,2.0,3.0,1,0.0,4,1.0,3.4
85.0,2.0,3.0,1,0.0,4,1.0,3.35
90.0,2.0,2.0,1,5.0,3,0.0,2.15
79.0,2.0,2.0,1,0.0,4,0.0,2.299999
60.0,1.0,2.0,1,5.0,3,0.0,1.545
125.0,3.0,4.0,1,21.0,5,1.0,1.695
91.0,3.0,2.0,1,5.0,4,0.0,2.85
220.0,4.0,4.0,3,11.0,4,0.0,3.85
85.0,3.0,1.0,1,11.0,14,0.0,2.15
10.0,3.0,1.0,1,4.0,3,1.0,3.3
145.0,3.0,2.0,2,11.0,2,0.0,2.7
110.0,3.0,2.0,1,0.0,3,0.0,2.95
85.0,2.0,2.0,1,21.0,3,0.0,2.99
192.0,2.0,2.0,0,3.0,3,0.0,9.75
80.0,2.0,3.0,1,16.0,3,0.0,1.699
110.0,3.0,1.0,1,5.0,3,0.0,2.8
85.0,2.0,2.0,1,0.0,3,0.0,2.045
157.0,3.0,2.0,2,5.0,5,1.0,4.995
100.0,2.0,1.0,1,11.0,3,0.0,2.77
100.0,2.0,2.0,1,0.0,4,0.0,2.31
80.0,2.0,1.0,1,5.0,5,0.0,1.82
90.0,2.0,4.0,1,16.0,4,0.0,0.99
85.0,2.0,2.0,1,5.0,4,0.0,1.92
90.0,2.0,2.0,1,5.0,5,0.0,1.59
220.0,4.0,5.0,2,0.0,5,0.0,3.8
70.0,2.0,2.0,1,2.0,5,0.0,2.3
90.0,2.0,2.0,1,0.0,5,0.0,2.6
80.0,2.0,2.0,1,0.0,5,0.0,2.17
170.0,3.0,9.0,2,4.0,9,1.0,5.8
70.0,2.0,2.0,1,0.0,3,0.0,2.39
90.0,2.0,4.0,1,5.0,4,0.0,2.0
100.0,3.0,2.0,2,0.0,4,0.0,2.7
130.0,4.0,4.0,2,0.0,4,0.0,4.0
120.0,3.0,7.0,1,5.0,7,1.0,4.25
100.0,3.0,2.0,1,4.0,4,0.0,2.15
125.0,3.0,3.0,2,4.0,9,1.0,4.75
230.0,4.0,2.0,2,0.0,5,0.0,7.85
250.0,5.0,6.0,2,5.0,6,0.0,4.1
135.0,3.0,2.0,1,0.0,4,0.0,3.65
90.0,2.0,3.0,1,0.0,4,0.0,2.7
145.0,3.0,2.0,1,0.0,3,0.0,3.25
145.0,3.0,3.0,2,0.0,6,1.0,4.25
98.0,2.0,2.0,1,0.0,3,0.0,3.15
135.0,2.0,3.0,1,0.0,3,0.0,3.55
120.0,2.0,2.0,1,0.0,3,0.0,2.65
120.0,2.0,2.0,1,0.0,3,0.0,2.65
107.0,2.0,3.0,2,0.0,3,0.0,2.75
75.0,2.0,2.0,1,21.0,6,0.0,1.15
180.0,4.0,4.0,1,0.0,4,0.0,4.85
90.0,2.0,3.0,1,0.0,4,0.0,2.6
125.0,3.0,4.0,2,0.0,5,0.0,3.85
90.0,2.0,1.0,1,0.0,3,0.0,2.25
105.0,2.0,3.0,1,0.0,3,0.0,2.1
